transaction_id,account_id,date,merchant,category,amount,is_anomaly
TXN000001,ACC0016,2023-01-13,Chemist Warehouse,Healthcare,372.07,0
TXN000002,ACC0035,2023-02-22,Uber,Transport,339.97,0
TXN000003,ACC0014,2023-01-17,IGA,Groceries,19.75,0
TXN000004,ACC0042,2023-10-15,Myki,Transport,103.42,0
TXN000005,ACC0038,2023-08-03,Medibank,Healthcare,114.12,0
TXN000006,ACC0022,2023-03-23,McDonalds,Dining,350.58,0
TXN000007,ACC0022,2023-04-21,Uber Eats,Dining,478.82,1
TXN000008,ACC0023,2023-07-14,Woolworths,Groceries,52.87,0
TXN000009,ACC0035,2023-01-23,Telstra,Utilities,366.22,0
TXN000010,ACC0041,2023-02-10,IGA,Groceries,278.26,0
TXN000011,ACC0005,2023-10-23,Telstra,Utilities,100.18,0
TXN000012,ACC0015,2023-05-29,Coles,Groceries,492.68,1
TXN000013,ACC0041,2023-07-14,JB Hi-Fi,Shopping,142.6,0
TXN000014,ACC0014,2023-03-25,Target,Shopping,188.24,0
TXN000015,ACC0042,2023-12-26,Priceline,Healthcare,468.64,1
TXN000016,ACC0011,2023-10-01,Coles,Groceries,365.92,0
TXN000017,ACC0041,2023-05-19,Steam,Entertainment,494.81,1
TXN000018,ACC0050,2023-04-23,Medibank,Healthcare,343.88,0
TXN000019,ACC0021,2023-04-28,JB Hi-Fi,Shopping,411.79,0
TXN000020,ACC0037,2023-02-03,Event Cinemas,Entertainment,109.44,0
TXN000021,ACC0026,2023-04-19,Priceline,Healthcare,329.44,0
TXN000022,ACC0016,2023-03-15,Priceline,Healthcare,136.12,0
TXN000023,ACC0038,2023-10-03,Medibank,Healthcare,135.06,0
TXN000024,ACC0009,2023-07-05,Steam,Entertainment,113.56,0
TXN000025,ACC0008,2023-02-16,Optus,Utilities,379.11,0
TXN000026,ACC0005,2023-12-15,Uber,Transport,213.97,0
TXN000027,ACC0034,2023-11-02,Steam,Entertainment,498.08,1
TXN000028,ACC0044,2023-12-15,McDonalds,Dining,361.76,0
TXN000029,ACC0019,2023-11-25,Telstra,Utilities,173.39,0
TXN000030,ACC0047,2023-08-21,Spotify,Entertainment,6.61,0
TXN000031,ACC0033,2023-09-14,Priceline,Healthcare,382.17,0
TXN000032,ACC0013,2023-11-24,Aldi,Groceries,256.29,0
TXN000033,ACC0050,2023-03-24,Shell,Transport,271.99,0
TXN000034,ACC0002,2023-11-03,AGL Energy,Utilities,165.46,0
TXN000035,ACC0016,2023-06-07,Aldi,Groceries,123.53,0
TXN000036,ACC0005,2023-02-13,AGL Energy,Utilities,367.29,0
TXN000037,ACC0036,2023-03-07,Kmart,Shopping,331.58,0
TXN000038,ACC0028,2023-09-28,Shell,Transport,436.85,0
TXN000039,ACC0043,2023-06-09,Uber,Transport,202.5,0
TXN000040,ACC0029,2023-08-13,Priceline,Healthcare,450.31,1
TXN000041,ACC0002,2023-04-26,Coles,Groceries,36.69,0
TXN000042,ACC0005,2023-10-29,Origin Energy,Utilities,114.01,0
TXN000043,ACC0003,2023-01-31,Medibank,Healthcare,118.33,0
TXN000044,ACC0018,2023-02-06,Target,Shopping,259.51,0
TXN000045,ACC0047,2023-04-20,Priceline,Healthcare,271.92,0
TXN000046,ACC0027,2023-05-05,Optus,Utilities,393.39,0
TXN000047,ACC0023,2023-02-19,Myki,Transport,331.2,0
TXN000048,ACC0004,2023-08-28,Steam,Entertainment,432.6,0
TXN000049,ACC0026,2023-11-27,Medibank,Healthcare,53.72,0
TXN000050,ACC0013,2023-02-25,Priceline,Healthcare,128.08,0
TXN000051,ACC0018,2023-03-13,Optus,Utilities,213.83,0
TXN000052,ACC0036,2023-02-08,Spotify,Entertainment,224.35,0
TXN000053,ACC0001,2023-11-30,Woolworths,Groceries,499.64,1
TXN000054,ACC0031,2023-03-27,Coles,Groceries,206.17,0
TXN000055,ACC0001,2023-01-31,BP,Transport,86.5,0
TXN000056,ACC0045,2023-08-21,Event Cinemas,Entertainment,146.2,0
TXN000057,ACC0010,2023-12-05,Medibank,Healthcare,360.61,0
TXN000058,ACC0038,2023-04-22,Shell,Transport,484.51,1
TXN000059,ACC0004,2023-02-01,Medibank,Healthcare,375.25,0
TXN000060,ACC0034,2023-09-15,IGA,Groceries,460.1,1
TXN000061,ACC0012,2023-09-18,Myki,Transport,44.66,0
TXN000062,ACC0026,2023-12-12,Woolworths,Groceries,431.6,0
