transaction_id,account_id,date,merchant,category,amount,is_anomaly,year,month,month_name,week,day_of_week,quarter,risk_flag
TXN000001,ACC0016,2023-01-13,Chemist Warehouse,Healthcare,372.07,0,2023,1,January,2,Friday,1,MEDIUM
TXN000002,ACC0035,2023-02-22,Uber,Transport,339.97,0,2023,2,February,8,Wednesday,1,MEDIUM
TXN000003,ACC0014,2023-01-17,Iga,Groceries,19.75,0,2023,1,January,3,Tuesday,1,LOW
TXN000004,ACC0042,2023-10-15,Myki,Transport,103.42,0,2023,10,October,41,Sunday,4,LOW
TXN000005,ACC0038,2023-08-03,Medibank,Healthcare,114.12,0,2023,8,August,31,Thursday,3,LOW
TXN000006,ACC0022,2023-03-23,Mcdonalds,Dining,350.58,0,2023,3,March,12,Thursday,1,MEDIUM
TXN000007,ACC0022,2023-04-21,Uber Eats,Dining,478.82,1,2023,4,April,16,Friday,2,HIGH
TXN000008,ACC0023,2023-07-14,Woolworths,Groceries,52.87,0,2023,7,July,28,Friday,3,LOW
TXN000009,ACC0035,2023-01-23,Telstra,Utilities,366.22,0,2023,1,January,4,Monday,1,MEDIUM
TXN000010,ACC0041,2023-02-10,Iga,Groceries,278.26,0,2023,2,February,6,Friday,1,MEDIUM
TXN000011,ACC0005,2023-10-23,Telstra,Utilities,100.18,0,2023,10,October,43,Monday,4,LOW
TXN000012,ACC0015,2023-05-29,Coles,Groceries,492.68,1,2023,5,May,22,Monday,2,HIGH
TXN000013,ACC0041,2023-07-14,Jb Hi-Fi,Shopping,142.6,0,2023,7,July,28,Friday,3,LOW
TXN000014,ACC0014,2023-03-25,Target,Shopping,188.24,0,2023,3,March,12,Saturday,1,LOW
TXN000015,ACC0042,2023-12-26,Priceline,Healthcare,468.64,1,2023,12,December,52,Tuesday,4,HIGH
TXN000016,ACC0011,2023-10-01,Coles,Groceries,365.92,0,2023,10,October,39,Sunday,4,MEDIUM
TXN000017,ACC0041,2023-05-19,Steam,Entertainment,494.81,1,2023,5,May,20,Friday,2,HIGH
TXN000018,ACC0050,2023-04-23,Medibank,Healthcare,343.88,0,2023,4,April,16,Sunday,2,MEDIUM
TXN000019,ACC0021,2023-04-28,Jb Hi-Fi,Shopping,411.79,0,2023,4,April,17,Friday,2,HIGH
TXN000020,ACC0037,2023-02-03,Event Cinemas,Entertainment,109.44,0,2023,2,February,5,Friday,1,LOW
TXN000021,ACC0026,2023-04-19,Priceline,Healthcare,329.44,0,2023,4,April,16,Wednesday,2,MEDIUM
TXN000022,ACC0016,2023-03-15,Priceline,Healthcare,136.12,0,2023,3,March,11,Wednesday,1,LOW
TXN000023,ACC0038,2023-10-03,Medibank,Healthcare,135.06,0,2023,10,October,40,Tuesday,4,LOW
TXN000024,ACC0009,2023-07-05,Steam,Entertainment,113.56,0,2023,7,July,27,Wednesday,3,LOW
TXN000025,ACC0008,2023-02-16,Optus,Utilities,379.11,0,2023,2,February,7,Thursday,1,MEDIUM
TXN000026,ACC0005,2023-12-15,Uber,Transport,213.97,0,2023,12,December,50,Friday,4,MEDIUM
TXN000027,ACC0034,2023-11-02,Steam,Entertainment,498.08,1,2023,11,November,44,Thursday,4,HIGH
TXN000028,ACC0044,2023-12-15,Mcdonalds,Dining,361.76,0,2023,12,December,50,Friday,4,MEDIUM
TXN000029,ACC0019,2023-11-25,Telstra,Utilities,173.39,0,2023,11,November,47,Saturday,4,LOW
TXN000030,ACC0047,2023-08-21,Spotify,Entertainment,6.61,0,2023,8,August,34,Monday,3,LOW
TXN000031,ACC0033,2023-09-14,Priceline,Healthcare,382.17,0,2023,9,September,37,Thursday,3,MEDIUM
TXN000032,ACC0013,2023-11-24,Aldi,Groceries,256.29,0,2023,11,November,47,Friday,4,MEDIUM
TXN000033,ACC0050,2023-03-24,Shell,Transport,271.99,0,2023,3,March,12,Friday,1,MEDIUM
TXN000034,ACC0002,2023-11-03,Agl Energy,Utilities,165.46,0,2023,11,November,44,Friday,4,LOW
TXN000035,ACC0016,2023-06-07,Aldi,Groceries,123.53,0,2023,6,June,23,Wednesday,2,LOW
TXN000036,ACC0005,2023-02-13,Agl Energy,Utilities,367.29,0,2023,2,February,7,Monday,1,MEDIUM
TXN000037,ACC0036,2023-03-07,Kmart,Shopping,331.58,0,2023,3,March,10,Tuesday,1,MEDIUM
TXN000038,ACC0028,2023-09-28,Shell,Transport,436.85,0,2023,9,September,39,Thursday,3,HIGH
TXN000039,ACC0043,2023-06-09,Uber,Transport,202.5,0,2023,6,June,23,Friday,2,MEDIUM
TXN000040,ACC0029,2023-08-13,Priceline,Healthcare,450.31,1,2023,8,August,32,Sunday,3,HIGH
TXN000041,ACC0002,2023-04-26,Coles,Groceries,36.69,0,2023,4,April,17,Wednesday,2,LOW
TXN000042,ACC0005,2023-10-29,Origin Energy,Utilities,114.01,0,2023,10,October,43,Sunday,4,LOW
TXN000043,ACC0003,2023-01-31,Medibank,Healthcare,118.33,0,2023,1,January,5,Tuesday,1,LOW
TXN000044,ACC0018,2023-02-06,Target,Shopping,259.51,0,2023,2,February,6,Monday,1,MEDIUM
TXN000045,ACC0047,2023-04-20,Priceline,Healthcare,271.92,0,2023,4,April,16,Thursday,2,MEDIUM
TXN000046,ACC0027,2023-05-05,Optus,Utilities,393.39,0,2023,5,May,18,Friday,2,MEDIUM
TXN000047,ACC0023,2023-02-19,Myki,Transport,331.2,0,2023,2,February,7,Sunday,1,MEDIUM
TXN000048,ACC0004,2023-08-28,Steam,Entertainment,432.6,0,2023,8,August,35,Monday,3,HIGH
TXN000049,ACC0026,2023-11-27,Medibank,Healthcare,53.72,0,2023,11,November,48,Monday,4,LOW
TXN000050,ACC0013,2023-02-25,Priceline,Healthcare,128.08,0,2023,2,February,8,Saturday,1,LOW
TXN000051,ACC0018,2023-03-13,Optus,Utilities,213.83,0,2023,3,March,11,Monday,1,MEDIUM
TXN000052,ACC0036,2023-02-08,Spotify,Entertainment,224.35,0,2023,2,February,6,Wednesday,1,MEDIUM
TXN000053,ACC0001,2023-11-30,Woolworths,Groceries,499.64,1,2023,11,November,48,Thursday,4,HIGH
TXN000054,ACC0031,2023-03-27,Coles,Groceries,206.17,0,2023,3,March,13,Monday,1,MEDIUM
